seed-property-id,address,property-name,property-type,gfa,year-built,province,city,postal-code,geom,latitude,longitude,energy-star,site-eui,source-eui,total-ghg,ghgi
BBBC007110,2198 Health Sciences Mall,Woodward Library,College/University,7776.9998782272,2010,BC,Vancouver,V6T1Z4,"(-123.24801635742188,49.26467514038086)",49.26467514038086,-123.24801635742188,,127.55665000000000,,140.73153047572100,18.095846275840100
BBBC008459,1100 Chestnut Street,(5939) Museum of Vancouver and Planetarium,Museum,12829.687785734400,2004,BC,Vancouver,V6J 3J9,"(-123.14310455322266,49.275936126708984)",49.275936126708984,-123.14310455322266,,249.93910000000000,349.8895,416.92487460000000,32.49685246331880
BBBC008324,884 Granville St,(1064) Orpheum Theatre,Public Assembly,11066.289609312000,2009,BC,Vancouver,V6Z 1K3,"(-123.12088012695312,49.28029251098633)",49.28029251098633,-123.12088012695312,,77.77075000000000,127.74595,83.5768516,7.5523751564097500
BBBC006344,1866 Main Mall,"Buchanan D,E",College/University,7134.000286809600,2007,BC,Vancouver,V6T1Z4,"(-123.25482940673828,49.2693977355957)",49.2693977355957,-123.25482940673828,,198.03935000000000,,219.42756421318900,30.75796790605550
BBBC006576,1985 West Mall,Longhouse,College/University,2352.0002508288000,1993,BC,Vancouver,V6T1Z4,"(-123.25653839111328,49.26545333862305)",49.26545333862305,-123.25653839111328,,258.0159,,96.41385847885100,40.99224272656590
BBBC023051,1465 w 12,Shaughnessy House,Multifamily Housing,3680.3966649984000,1965,BC,Vancouver,v6h 1m7,"(-123.13710021972656,49.26102066040039)",49.26102066040039,-123.13710021972656,,224.91995,255.4919,141.51539180000000,38.45108767627640
BBBC014761,6090 Iona Drive,Axis,Multifamily Housing,7907.392081958400,2013,BC,Vancouver,V6T 0B6,"(-123.252382,49.269839)",49.269839,-123.252382,,199.93235000000000,305.46710000000000,160.5038256,20.297927383617800
BBBC008912,700 Templeton Dr,(1485) Templeton Park & Pool,Rec Centre (with Pool),1908.7979372352000,1970,BC,Vancouver,V5L 4X9,"(-123.05885314941406,49.278541564941406)",49.278541564941406,-123.05885314941406,,724.79815,910.8485,207.5118992,108.71328721267100
BBBC024240,6278 North West Marine Drive,Rose Garden Parkade,Parking Garage,23184.999720230400,1994,BC,Vancouver,V6T 1Z1,"(-123.2566146850586,49.26950454711914)",49.26950454711914,-123.2566146850586,,19.4348,,19.420734760000000,0.8376414147098150
BBBC024190,6160 Thunderbird Boulevard,New Tennis Centre,Rec Centre,8252.0001153216,2011,BC,Vancouver,V6T 1Z3,"(-123.24290466308594,49.260231018066406)",49.260231018066406,-123.24290466308594,,94.4607,,92.22542224,11.176118722800900
BBBC015529,123 Jackson Avenue,104 - MacLean Park,Multifamily Housing,10391.3899010496,1964,BC,Vancouver,V6A 1E2,"(-123.09374237060547,49.278419494628906)",49.278419494628906,-123.09374237060547,1,647.0274,727.57455,1150.194593,110.6871641675100
BBBC023184,1155 West Pender,Shorehill,Office,8777.9911149504,1966,BC,Vancouver,V6E 2P4,"(-123.12181091308594,49.28824996948242)",49.28824996948242,-123.12181091308594,40,308.2435,444.31865,333.5042238,37.993191914409100
BBBC014522,1190 Hornby Street,Hornby Street,Office,10023.590481811200,1985,BC,Vancouver,V6Z 2K5,"(-123.12752,49.278495)",49.278495,-123.12752,51,263.8211,413.77825,273.4774622,27.28335700067540
BBBC001606,2980 Virtual Way,Broadway Tech 8 (EPL),Office,14557.386110976,2002,BC,Vancouver,V5M 4X3,"(-123.043607,49.261302)",49.261302,-123.043607,,474.85905000000000,927.5069,278.72387200000000,19.14654184081120
BBBC001633,3550 West Broadway,Dunway Court (EPL),Multifamily Housing,3437.3966864832000,1991,BC,Vancouver,V6R 2B6,"(-123.183138,49.264038)",49.264038,-123.183138,,274.9267,408.2254500000000,107.4534532,31.26009565177680
BBBC008663,401 Main St,(1393) Carnegie Community Centre,Social/Meeting Hall,3530.2969393920000,1903,BC,Vancouver,V6A 2T7,"(-123.10014343261719,49.28105926513672)",49.28105926513672,-123.10014343261719,,299.91430000000000,413.77825,139.106945,39.40371384284920
BBBC022970,1905 Robson st.,Ilikai,Multifamily Housing,5151.8953478016,1969,BC,Vancouver,v6g1e6,"(-123.13701629638672,49.29288864135742)",49.29288864135742,-123.13701629638672,,241.60990000000000,272.1503,212.3389828,41.215661999196500
BBBC002375,535 Hamilton Street,Hamilton Building,Office,2804.9973319296000,1993,BC,Vancouver,V6B2R1,"(-123.11195373535156,49.28183364868164)",49.28183364868164,-123.11195373535156,48,219.36715000000000,388.79065000000000,42.0876854,15.004522175763400
BBBC006282,2212 Main Mall,Beaty,College/University,12466.000255046400,2009,BC,Vancouver,V6T1Z4,"(-123.25096893310547,49.263267517089844)",49.263267517089844,-123.25096893310547,,231.4508,,336.79300493956300,27.01689973685140
BBBC024257,2140 Lower Mall,West Parkade,Parking Garage,34774.9995595392,1992,BC,Vancouver,V6T 1Z4,"(-123.25553894042969,49.262420654296875)",49.262420654296875,-123.25553894042969,,5.5528000000000000,,8.216762680000000,0.23628338842130200
BBBC023168,1260 Harwood St,Barafield,Multifamily Housing,5102.0946732096,1959,BC,Vancouver,V6E1S4,"(-123.13677978515625,49.28081130981445)",49.28081130981445,-123.13677978515625,,341.5603,374.8771000000000,305.67369580000000,59.91135397607650
BBBC001544,2985 Virtual Way,Broadway Tech 3 (EPL),Office,11004.2889075072,2002,BC,Vancouver,V5M 4X7,"(-123.043541,49.261296)",49.261296,-123.043541,86,155.50995000000000,258.26830000000000,147.0203402,13.360263362555800
BBBC024224,6000 Student Union Boulevard,Student Recreation Centre,Rec Centre,4963.0002417216,1995,BC,Vancouver,V6T 1Z1,"(-123.24935150146484,49.26860809326172)",49.26860809326172,-123.24935150146484,,177.8158,,116.60399151111100,23.494634896058300
BBBC008887,6810 Main St,(1346) Sunset Community Centre,Rec Centre,2889.2975504256,2007,BC,Vancouver,V5X 0A1,"(-123.10112762451172,49.222808837890625)",49.222808837890625,-123.10112762451172,,180.49755,294.3615,48.283239800000000,16.711049046185
BBBC022871,2045 Nelson,Emerald Terrace,Multifamily Housing,7068.592830528,1966,BC,Vancouver,v6g1n8,"(-123.16856384277344,49.32930374145508)",49.32930374145508,-123.16856384277344,,211.03795,241.60990000000000,250.2926712,35.40908848219420
BBBC006861,6393 NW Marine Drive,MOA,College/University,10651.9996507968,2010,BC,Vancouver,V6T1Z4,"(-123.25943756103516,49.269500732421875)",49.269500732421875,-123.25943756103516,,341.8127,,379.4012740778780,35.61781067897340
